rad6 50,rad6 100
-0.002385158,0.005774579
-0.002380999,0.005783799
-0.002376817,0.005793032
-0.002372612,0.005802276
-0.002368385,0.005811533
-0.002364136,0.005820802
-0.002359864,0.005830083
-0.00235557,0.005839376
-0.002351254,0.005848682
-0.002346915,0.005857999
-0.002342554,0.005867329
-0.002338171,0.005876671
-0.002333765,0.005886025
-0.002329337,0.005895391
-0.002324887,0.005904769
-0.002320415,0.005914159
-0.002315921,0.005923561
-0.002311405,0.005932975
-0.002306866,0.005942402
-0.002302306,0.00595184
-0.002297723,0.00596129
-0.002293119,0.005970753
-0.002288493,0.005980227
-0.002283844,0.005989714
-0.002279174,0.005999212
-0.002274482,0.006008723
-0.002269768,0.006018246
-0.002265032,0.00602778
-0.002260274,0.006037327
-0.002255495,0.006046885
-0.002250694,0.006056455
-0.002245871,0.006066038
-0.002241026,0.006075632
-0.00223616,0.006085238
-0.002231272,0.006094857
-0.002226363,0.006104487
-0.002221431,0.006114129
-0.002216479,0.006123783
-0.002211504,0.006133448
-0.002206509,0.006143126
-0.002201492,0.006152816
-0.002196453,0.006162517
-0.002191393,0.00617223
-0.002186311,0.006181956
-0.002181208,0.006191693
-0.002176084,0.006201442
-0.002170939,0.006211202
-0.002165772,0.006220975
-0.002160584,0.006230759
-0.002155374,0.006240555
-0.002150144,0.006250363
-0.002144892,0.006260183
-0.002139619,0.006270014
-0.002134325,0.006279858
-0.002129009,0.006289713
-0.002123673,0.006299579
-0.002118316,0.006309458
-0.002112937,0.006319348
-0.002107538,0.00632925
-0.002102118,0.006339164
-0.002096676,0.006349089
-0.002091214,0.006359026
-0.002085731,0.006368975
-0.002080227,0.006378936
-0.002074702,0.006388908
-0.002069156,0.006398892
-0.00206359,0.006408887
-0.002058002,0.006418895
-0.002052394,0.006428913
-0.002046766,0.006438944
-0.002041116,0.006448986
-0.002035446,0.00645904
-0.002029755,0.006469105
-0.002024044,0.006479182
-0.002018312,0.006489271
-0.00201256,0.006499371
-0.002006787,0.006509482
-0.002000993,0.006519606
-0.001995179,0.00652974
-0.001989344,0.006539887
-0.00198349,0.006550045
-0.001977614,0.006560214
-0.001971718,0.006570395
-0.001965802,0.006580588
-0.001959866,0.006590792
-0.001953909,0.006601007
-0.001947932,0.006611234
-0.001941935,0.006621473
-0.001935918,0.006631723
-0.00192988,0.006641984
-0.001923822,0.006652257
-0.001917744,0.006662541
-0.001911646,0.006672837
-0.001905528,0.006683144
-0.00189939,0.006693463
-0.001893232,0.006703793
-0.001887053,0.006714135
-0.001880855,0.006724487
-0.001874637,0.006734852
-0.001868398,0.006745227
-0.00186214,0.006755614
-0.001855862,0.006766013
-0.001849564,0.006776422
-0.001843247,0.006786843
-0.001836909,0.006797276
-0.001830552,0.006807719
-0.001824175,0.006818174
-0.001817778,0.006828641
-0.001811362,0.006839118
-0.001804925,0.006849607
-0.00179847,0.006860108
-0.001791994,0.006870619
-0.001785499,0.006881142
-0.001778984,0.006891676
-0.00177245,0.006902221
-0.001765897,0.006912778
-0.001759323,0.006923345
-0.001752731,0.006933924
-0.001746118,0.006944515
-0.001739487,0.006955116
-0.001732836,0.006965729
-0.001726165,0.006976352
-0.001719476,0.006986987
-0.001712767,0.006997633
-0.001706038,0.007008291
-0.001699291,0.007018959
-0.001692524,0.007029639
-0.001685738,0.007040329
-0.001678932,0.007051031
-0.001672108,0.007061744
-0.001665264,0.007072468
-0.001658401,0.007083203
-0.00165152,0.00709395
-0.001644619,0.007104707
-0.001637699,0.007115475
-0.00163076,0.007126255
-0.001623802,0.007137045
-0.001616825,0.007147847
-0.001609829,0.007158659
-0.001602814,0.007169483
-0.00159578,0.007180318
-0.001588728,0.007191163
-0.001581656,0.00720202
-0.001574566,0.007212887
-0.001567457,0.007223766
-0.001560329,0.007234656
-0.001553182,0.007245556
-0.001546017,0.007256468
-0.001538833,0.00726739
-0.001531631,0.007278323
-0.001524409,0.007289268
-0.001517169,0.007300223
-0.001509911,0.007311189
-0.001502634,0.007322166
-0.001495338,0.007333154
-0.001488024,0.007344153
-0.001480691,0.007355163
-0.00147334,0.007366183
-0.00146597,0.007377215
-0.001458582,0.007388257
-0.001451176,0.00739931
-0.001443751,0.007410374
-0.001436308,0.007421449
-0.001428847,0.007432534
-0.001421367,0.00744363
-0.001413869,0.007454738
-0.001406353,0.007465855
-0.001398818,0.007476984
-0.001391265,0.007488124
-0.001383695,0.007499274
-0.001376106,0.007510435
-0.001368499,0.007521606
-0.001360873,0.007532789
-0.00135323,0.007543982
-0.001345569,0.007555186
-0.001337889,0.0075664
-0.001330192,0.007577626
-0.001322476,0.007588861
-0.001314743,0.007600108
-0.001306992,0.007611365
-0.001299223,0.007622633
-0.001291436,0.007633912
-0.001283631,0.007645201
-0.001275808,0.007656501
-0.001267968,0.007667811
-0.001260109,0.007679132
-0.001252233,0.007690464
-0.00124434,0.007701806
-0.001236428,0.007713159
-0.001228499,0.007724522
-0.001220552,0.007735896
-0.001212588,0.007747281
-0.001204606,0.007758676
-0.001196606,0.007770081
-0.001188589,0.007781497
-0.001180554,0.007792924
-0.001172502,0.007804361
-0.001164432,0.007815809
-0.001156345,0.007827267
-0.00114824,0.007838735
-0.001140118,0.007850214
-0.001131978,0.007861704
-0.001123822,0.007873204
-0.001115647,0.007884714
-0.001107456,0.007896235
-0.001099247,0.007907766
-0.001091021,0.007919308
-0.001082778,0.00793086
-0.001074517,0.007942422
-0.00106624,0.007953995
-0.001057945,0.007965578
-0.001049633,0.007977172
-0.001041303,0.007988776
-0.001032957,0.00800039
-0.001024594,0.008012015
-0.001016213,0.008023649
-0.001007816,0.008035295
-0.000999402,0.00804695
-0.00099097,0.008058616
-0.000982522,0.008070292
-0.000974056,0.008081979
-0.000965574,0.008093675
-0.000957075,0.008105382
-0.000948559,0.0081171
-0.000940026,0.008128827
-0.000931477,0.008140565
-0.00092291,0.008152313
-0.000914327,0.008164071
-0.000905727,0.008175839
-0.000897111,0.008187618
